"Z60W Data File: Version 1.1"
""
""
""
""
""
""
""
0,2,0,1,0.00999989424599335,500000
77
"  Freq (Hz)    Ampl     Bias   Time(Sec)   Z'(a)    Z''(b)    GD   Err   Range"
500000,0,0,0,8.82122628463407,-1.46604876677921,0,0,0
395965.576171875,0,0,0,9.23535119723547,-3.10967023984144,0,0,0
313583.374023438,0,0,0,9.75679758168165,-4.72259281096674,0,0,0
248348.236083984,0,0,0,10.4034261414874,-6.35255999437829,0,0,0
196678.161621094,0,0,0,11.2238411924678,-8.23728314701084,0,0,0
155757.904052734,0,0,0,12.3757122117591,-10.3656431564265,0,0,0
123348.236083984,0,0,0,13.6792002574637,-12.3783160851786,0,0,0
97690.5822753906,0,0,0,15.1571518137502,-14.8018031644686,0,0,0
77365.8752441406,0,0,0,17.1502667849565,-17.4009732091833,0,0,0
61269.7601318359,0,0,0,18.9866857436351,-19.9425287325756,0,0,0
48522.94921875,0,0,0,21.7683431076964,-23.0486902800973,0,0,0
38427.3529052734,0,0,0,24.7534531823723,-26.6606873841635,0,0,0
30432.7011108398,0,0,0,28.3010737829346,-30.5028756891657,0,0,0
24100.7804870605,0,0,0,32.4845056103205,-34.6393571810669,0,0,0
19086.8377685547,0,0,0,37.3845957173472,-39.1685094726368,0,0,0
15115.9763336182,0,0,0,43.084738869058,-43.976518974076,0,0,0
11970.9968566895,0,0,0,50.947606945126,-50.0449472361627,0,0,0
9480.47637939453,0,0,0,58.5138776550648,-55.2067108455699,0,0,0
7508.0394744873,0,0,0,67.5673753263805,-60.7934758047164,0,0,0
5945.92094421387,0,0,0,77.6074052963225,-66.1495294960861,0,0,0
4708.88614654541,0,0,0,89.0179573228487,-70.7728559506469,0,0,0
3729.22420501709,0,0,0,100.060347338244,-73.7519658101896,0,0,0
2953.35054397583,0,0,0,113.368200062328,-76.8982618561891,0,0,0
2338.82665634155,0,0,0,127.481585617931,-78.7011372876296,0,0,0
1852.30374336243,0,0,0,141.98482017522,-79.2315930554279,0,0,0
1466.90011024475,0,0,0,156.012730290238,-78.2186039337872,0,0,0
1161.69452667236,0,0,0,176.8336099405,-78.7910536322348,0,0,0
920.042395591736,0,0,0,189.848667648054,-75.0699185991489,0,0,0
728.622078895569,0,0,0,202.594846068466,-70.7208848294229,0,0,0
577.032566070557,0,0,0,213.4177413872,-65.5964235858752,0,0,0
456.98881149292,0,0,0,223.099191470663,-59.7520067417558,0,0,0
